#,Nodes Visisted,Path Length,Duration,Limit
1,6,5,0.0011699199676513672,5000
2,4,3,0.0007979869842529297,5000
3,2,1,0.0003600120544433594,5000
4,6,5,0.0012459754943847656,5000
5,5,3,0.0010190010070800781,5000
6,19,8,0.005028963088989258,5000
7,3,2,0.0005140304565429688,5000
8,5,4,0.000843048095703125,5000
9,5,4,0.0006818771362304688,5000
10,5,4,0.0003960132598876953,5000
11,17,8,0.001873016357421875,5000
12,20,8,0.0023560523986816406,5000
13,84,12,0.022915124893188477,5000
14,5,4,0.00045490264892578125,5000
15,31,10,0.004127979278564453,5000
16,318,14,0.26082396507263184,5000
17,3217,20,22.60572600364685,5000
18,622,16,0.9283931255340576,5000
19,269,14,0.1830301284790039,5000
20,1370,18,4.173094987869263,5000
