#,Nodes Visisted,Path Length,Duration,Limit
1,47,5,0.012311935424804688,50000
2,17,3,0.0026209354400634766,50000
3,4,1,0.0002009868621826172,50000
4,41,5,0.004139900207519531,50000
5,15,3,0.0008871555328369141,50000
6,211,8,0.06189417839050293,50000
7,7,2,0.00044608116149902344,50000
8,17,4,0.001207113265991211,50000
9,25,4,0.0018489360809326172,50000
10,29,4,0.0022079944610595703,50000
11,178,8,0.05258512496948242,50000
12,283,8,0.10609292984008789,50000
13,1328,12,2.0672929286956787,50000
14,33,4,0.0034830570220947266,50000
15,585,10,0.40493106842041016,50000
16,4753,14,25.3070330619812,50000
17,0,0,3165.2269570827484,50000
18,12262,16,166.96344089508057,50000
19,5146,14,28.652931213378906,50000
20,25361,18,783.5746409893036,50000
