#,Nodes Visisted,Path Length,Duration,Limit
1,7,5,0.011698007583618164,5000
2,4,3,0.005472898483276367,5000
3,2,1,0.008713006973266602,5000
4,8,5,0.03538799285888672,5000
5,4,3,0.008118152618408203,5000
6,14,8,0.0874631404876709,5000
7,3,2,0.021297931671142578,5000
8,5,4,0.006268978118896484,5000
9,6,4,0.024132966995239258,5000
10,7,4,0.021802902221679688,5000
11,17,8,0.11702299118041992,5000
12,18,8,0.11759495735168457,5000
13,23,12,0.20249009132385254,5000
14,7,4,0.029365062713623047,5000
15,22,10,0.1474909782409668,5000
16,178,14,7.079188108444214,5000
17,183,20,8.027706861495972,5000
18,87,16,1.795820951461792,5000
19,79,14,1.6030168533325195,5000
20,120,18,3.2845609188079834,5000
